"LAKE_HISTORY_ID","LAKE_WATERBODY_NAME","Year","Date_First_Listing","Date_Last_Listing","Number_of_Reports","List_of_Locations","LATITUDE","LONGITUDE"
"0302BLI0077","BLIND SODUS BAY",2014,2014-08-02,2014-08-02,1,"0302BLI0077_C",43.338299,-76.728302
"0302BLI0077","BLIND SODUS BAY",2016,2016-09-13,2016-10-07,2,"0302BLI0077_C",43.338299,-76.728302
"0302DUR0148A","DURAND LAKE",2016,2016-09-07,2016-10-26,3,"0302DUR0148A_C",43.233299,-77.557602
"0302IRO0113","IRONDEQUOIT BAY",2019,2019-08-13,2019-08-13,1,"0302IRO0113_C",43.191799,-77.522003
"0302LAC0132","LAKE LACOMA",2014,2014-09-28,2014-09-28,1,"0302LAC0132_C",43.0509,-77.479401
"0302LAC0132","LAKE LACOMA",2015,2015-11-13,2015-11-13,1,"0302LAC0132_C",43.0509,-77.479401
"0302LAC0132","LAKE LACOMA",2018,2018-06-10,2018-06-10,1,"0302LAC0132_C",43.0509,-77.479401
"0302LAC0132","LAKE LACOMA",2020,2020-10-06,2020-10-06,1,"0302LAC0132_C",43.0509,-77.479401
"0302LAC0132","LAKE LACOMA",2021,2021-06-06,2021-09-07,3,"0302LAC0132_C",43.0509,-77.479401
"0302LAC0132","LAKE LACOMA",2017,2017-06-05,2017-07-08,3,"0302LAC0132_C",43.0509,-77.479401
"0302LSO0076","LITTLE SODUS BAY",2022,2022-09-07,2022-09-07,1,"0302LSO0076_C",43.330502,-76.709198
"0302LSO0076","LITTLE SODUS BAY",2019,2019-07-07,2019-07-07,1,"0302LSO0076_C",43.330502,-76.709198
"0302MIL0092","MILLPOND",2020,2020-08-19,2020-08-19,1,"0302MIL0092_C",43.169701,-76.7658
"0302POR0089","PORT BAY",2014,2014-07-22,2014-07-22,1,"0302POR0089_C",43.2976,-76.8321
"0302POR0089","PORT BAY",2019,2019-08-20,2019-08-20,1,"0302POR0089_C",43.2976,-76.8321
"0302POR0089","PORT BAY",2020,2020-07-31,2020-08-09,3,"0302POR0089_C",43.2976,-76.8321
"0302SOD0096","SODUS BAY",2013,2013-08-27,2013-08-27,1,"0302SOD0096_C",43.248299,-76.958504
"0302SOD0096","SODUS BAY",2015,2015-06-09,2015-06-09,1,"0302SOD0096_SPO",43.248299,-76.958504
"0302SOD0096","SODUS BAY",2019,2019-06-05,2019-06-05,1,"0302SOD0096_C",43.248299,-76.958504
"0302SOD0096","SODUS BAY",2012,2012-10-03,2012-10-03,1,"0302SOD0096_C",43.248299,-76.958504
"0302SOD0096","SODUS BAY",2022,2022-08-31,2022-08-31,1,"0302SOD0096_C",43.248299,-76.958504
"0302TINXXX1","TINKER PARK POND",2018,2018-09-28,2018-09-28,1,"0302TINXXX1_C",43.067417,-77.570756
"0302UWB0108D","CASEY PARK POND",2014,2014-10-31,2014-10-31,1,"0302UWB0108D_C",43.235298,-77.297401
"0302UWB0108D","CASEY PARK POND",2021,2021-11-17,2021-11-17,1,"0302UWB0108D_C",43.235298,-77.297401
"0302UWB0108D","CASEY PARK POND",2022,2022-04-07,2022-04-07,1,"0302UWB0108D_C",43.235298,-77.297401
"0303HYD0391","HYDE LAKE",2018,2018-08-15,2018-08-15,1,"0303HYD0391_BEACH_1",44.243599,-75.833198
"0303HYD0391","HYDE LAKE",2021,2021-07-10,2021-08-21,4,"0303HYD0391_C",44.243599,-75.833198
"0303HYD0391","HYDE LAKE",2022,2022-07-27,2022-11-11,18,"0303HYD0391_C",44.243599,-75.833198
"0303HYD0391","HYDE LAKE",2017,2017-08-24,2017-08-24,1,"0303HYD0391_BEACH_1",44.243599,-75.833198
"0303LAK1031","LAKEVIEW POND",2019,2019-08-03,2019-08-03,1,"0303LAK1031_C",43.748901,-76.206596
"0303LOR0009","LORTON LAKE",2012,2012-08-24,2012-09-22,2,"0303LOR0009_C",43.503741,-75.89079
"0303NOR1041","NORTH SANDY POND",2015,2015-09-25,2015-09-25,1,"0303NOR1041_DH",43.6535,-76.176002
"0303NOR1041","NORTH SANDY POND",2016,2016-08-09,2016-09-03,2,"0303NOR1041_C",43.6535,-76.176002
"0303NOR1041","NORTH SANDY POND",2021,2021-10-08,2021-10-08,1,"0303NOR1041_C",43.6535,-76.176002
"0303NOR1041","NORTH SANDY POND",2022,2022-08-25,2022-08-25,1,"0303NOR1041_C",43.6535,-76.176002
"0303NOR1041","NORTH SANDY POND",2020,2020-08-29,2020-08-29,1,"0303NOR1041_C",43.6535,-76.176002
"0402CAN0043","CANADICE LAKE",2019,2019-09-20,2019-09-20,1,"0402CAN0043_CSL1",42.718399,-77.568802
"0402CAN0043","CANADICE LAKE",2022,2022-10-06,2022-10-06,1,"0402CAN0043_C",42.718399,-77.568802
"0402CON0067","CONESUS LAKE",2016,2016-06-21,2016-11-25,7,"0402CON0067_C, 0402CON0067_VIT",42.752201,-77.718697
"0402CON0067","CONESUS LAKE",2018,2018-06-20,2018-10-23,4,"0402CON0067_BEACH_2, 0402CON0067_C, 0402CON0067_VIT",42.752201,-77.718697
"0402CON0067","CONESUS LAKE",2019,2019-06-27,2019-10-09,4,"0402CON0067_BEACH_1, 0402CON0067_C",42.752201,-77.718697
"0402CON0067","CONESUS LAKE",2014,2014-08-27,2014-09-05,2,"0402CON0067_C",42.752201,-77.718697
