Lake_ID,NATURAL,FOREST,DEVELOPED
0104UWB5639,96.85314685,96.46853147,2.762237762
0104UWB5640,96.91497366,96.50112867,2.671181339
0104UWB5623,100,99.21875,0
0104UWB5614,71.49901381,69.72386588,3.846153846
0104UWB0118,67.59776536,40.78212291,0
0104UWB5570,6.099518459,6.099518459,6.741573034
0104UWB5295,71.11111111,66.88888889,2.888888889
0104UWB5506,86,81,3.5
0104UWB5507,64.89451477,52.74261603,2.953586498
0104UWB5726,79.35855263,78.86513158,6.277412281
0104UWB5632,79.88505747,72.98850575,0
0103UWB5101,33.46613546,20.3187251,35.45816733
0103BON5102,53.32337565,38.01344287,19.71620612
0103UWB0065,51.76579661,43.04557125,6.649194124
0103BIP5370,51.28593041,44.02420575,1.966717095
0103UWB5123,35.93814433,8.701030928,61.62886598
0103UWB5330,47.09219858,25.67375887,8.439716312
0103UWB5364,15.68627451,15.68627451,0
0103UWB5172,4.022988506,0,0
0103UWB5338,3.184713376,1.126898579,96.76629103
0103UWB5358,57.73809524,57.73809524,38.0952381
0103UWB5359,72.97297297,72.97297297,0
0103SIN0071,4.958677686,0,95.04132231
0103HOW5361,52.58900972,47.25787594,4.523920111
0103UWB0072,71.11111111,71.11111111,28.88888889
0103UWB5315,60.75949367,50.42194093,18.56540084
0104UWB5349,69.355832,58.07365439,11.41766227
0104UWB0081,59.38452163,50.67032297,20.23918342
0103UWB5389,51.79856115,51.79856115,5.755395683
0104UWB5310,22.32704403,19.81132075,59.43396226
0104GRE5309,50.27385046,49.25487199,32.23793147
0103UWB5458,18.27956989,18.27956989,35.48387097
0104UWB5335,22.55424789,13.1390217,73.17947775
0103UWB5480,72.7173913,42.24637681,2.862318841
