OBJECTID,REACHCODE,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_82,VALUE_90,VALUE_95,FID,OBJECTID_1,Join_Count,TARGET_FID,OBJECTID_12,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode_1,FType,FCode,Shape_Leng,LkAcres,Perimeter,Lake_ID,Location_I,Long,Lat,Region,County,Type,LocType,Shape_Le_1,Shape_Area,ReachNew
37,W01100005003047,2.364110201000000,0.148920328,0,0,0,0,77.364110199999999,2.326880119000000,9.717051378000001,0.037230082,0.223380491,0,0,7.632166791000000,0.18615041,15082,15083,1,15082,15083,7711410,9/6/1999 0:00:00,3,948747,Duck Pond,0.011000000000000,0.000000000000000,01100005003047,390,39004,0.004515416542280,2.655714394390000,408.589013439999970,1601DUC1135C,1601DUC1135C_C,-73.513496399999994,41.740501399999999,3,Dutchess,Lake,Centroid,0.004515416508970,0.000001163700532,W01100005003047
38,W01100005003051,3.076923077000000,0,0,0,0,0,67.692307690000007,1.538461538000000,0.000000000000000,0,0,27.69230769,0,0.000000000000000,0,15150,15151,1,15150,15151,7711386,9/6/1999 0:00:00,3, , ,0.015000000000000,0.000000000000000,01100005003051,390,39004,0.005161016629230,3.733069571230000,498.333995480000000,1601UWB5964,1601UWB5964_C,-73.630699199999995,41.758400000000002,3,Dutchess,Lake,Centroid,0.005161017013950,0.000001636327350,W01100005003051
39,W01100005003061,6.312849162000000,0,0,0,0,0,89.608938550000005,0.000000000000000,0.000000000000000,0.111731844,0.61452514,0,0,3.072625698000000,0.279329609,16138,16139,1,16138,16139,7711426,9/6/1999 0:00:00,3,948339,Depression Pond,0.083000000000000,0.000000000000000,01100005003061,390,39004,0.014611133125000,20.605200000000000,1448.617268140000100,1601DEP1135D,1601DEP1135D_C,-73.527900700000004,41.727500900000003,3,Dutchess,Lake,Centroid,0.014611133737500,0.000009027220841,W01100005003061
40,W01100005003105,9.090909091000000,0,4.545454545,0,0,0,18.181818180000000,0.000000000000000,0.000000000000000,0,0,68.18181818,0,0.000000000000000,0,16159,16160,0,16159,16160,7711478,9/6/1999 0:00:00,3, , ,0.006000000000000,0.000000000000000,01100005003105,390,39004,0.003026811709330,1.548005763130000,295.556100453999990, , ,0.000000000000000,0.000000000000000,0, , , ,0.003026812659130,0.000000677872045,W01100005003105
41,W01100005003106,2.168194500000000,3.029095257,0.390593862,0.055799123,0.007971303,0.231167796,69.988043050000002,1.666002391000000,11.805500200000001,0.310880829,0.701474691,1.602231965,0,7.827819849000000,0.215225189,16163,16164,1,16163,16164,7711490,9/6/1999 0:00:00,3,949532,Ellis Pond,0.242000000000000,0.000000000000000,01100005003106,390,39004,0.034328539877100,59.736499999999999,3504.500806290000100,1601ELL1113,1601ELL1113_C,-73.547096300000007,41.682598100000000,3,Dutchess,Lake,Centroid,0.034328539905800,0.000026152951628,W01100005003106
42,W01100005003112,7.428571429000000,3.428571429,0.571428571,0,0,0,78.285714290000001,0.571428571000000,4.000000000000000,0,1.714285714,4,0,0.000000000000000,0,16165,16166,1,16165,16166,7711494,9/6/1999 0:00:00,3, , ,0.010000000000000,0.000000000000000,01100005003112,390,39004,0.004209386942910,2.357129477990000,419.709776799999990,1601UWB6620,1601UWB6620_C,-73.569297800000001,41.685298899999999,3,Dutchess,Lake,Centroid,0.004209386898440,0.000001032016888,W01100005003112
43,W01100005003121,14.528462190000001,10.6202209,2.463891249,0.59473237,0,0.424808836,41.291418860000000,3.823279524000000,10.280373830000000,0,1.444350042,2.548853016,0,9.600679694000000,2.378929482,16169,16170,1,16169,16170,7711502,9/6/1999 0:00:00,3, , ,0.145000000000000,0.000000000000000,01100005003121,390,39004,0.027972539466000,35.888199999999998,2830.715893300000100,1601UWB1113B,1601UWB1113B_C,-73.544097899999997,41.677501700000001,3,Dutchess,Lake,Centroid,0.027972539707800,0.000015710552553,W01100005003121
44,W01100005003124,4.217926186000000,14.4112478,4.217926186,1.054481547,0,0,44.991212650000001,0.175746924000000,8.787346221000000,0,0.702987698,2.284710018,0,15.114235499999999,4.042179262,16179,16180,0,16179,16180,7711528,9/6/1999 0:00:00,3, , ,0.023000000000000,0.000000000000000,01100005003124,390,39004,0.007400288049910,5.609937592260000,757.796137552999990, , ,0.000000000000000,0.000000000000000,0, , , ,0.007400289113950,0.000002455552501,W01100005003124
45,W01100005003125,4.288702929000000,0,0,0,0,1.882845188,71.443514640000004,4.288702929000000,10.460251050000000,3.451882845,0.418410042,1.046025105,0,2.719665272000000,0,16167,16168,1,16167,16168,7711498,9/6/1999 0:00:00,3,964951,Sharparoon Pond,0.043000000000000,0.000000000000000,01100005003125,390,39004,0.009013360852750,10.657299999999999,894.845632796000020,1601SHA1116,1601SHA1116_C,-73.593902600000007,41.680301700000001,3,Dutchess,Lake,Centroid,0.009013360719540,0.000004665741590,W01100005003125
46,W01100005003131,0.950292398000000,1.023391813,0,0,0,0,78.070175440000000,4.166666667000000,5.701754386000000,1.608187135,3.801169591,0.877192982,0,1.169590643000000,2.631578947,16166,16167,1,16166,16167,7711496,9/6/1999 0:00:00,3, , ,0.032000000000000,0.000000000000000,01100005003131,390,39004,0.008072205872700,7.796142006770000,785.847108292000030,1601UWB1116C,1601UWB1116C_C,-73.638900800000002,41.681499500000001,3,Dutchess,Lake,Centroid,0.008072205755560,0.000003413291625,W01100005003131
